HC,H1,2
H1,H2,2
H2,HMW,1
HMW,H3,1
H3,H4,1
H4,HCC,1
HCC,H5,1
H5,H6,1
H6,HCM,1
HCM,H7,1
H7,H8,1
H8,HTRP,1
HTRP,H9,1
H9,H10,1
H10,HV,1
HV,H11,1
H11,H12,1
H12,HVM,1
HVM,H13,1
H13,H14,1
H14,HCN,1
HCN,H15,1
H15,H16,1
H16,AVC1,1
AVC1,AVC2,1
AVC2,AVC1,1
AVC2,I16,1
I16,I15,1
I15,ICN,1
ICN,I14,1
I14,I13,1
I13,IVM,1
IVM,I12,1
I12,I11,1
I11,IV,1
IV,I10,1
I10,I9,1
I9,ITMP,1
ITMP,I8,1
I8,I7,1
I7,ICM,1
ICM,I6,1
I6,I5,1
I5,ICC,1
ICC,I4,1
I4,I3,1
I3,IMW,1
IMW,I2,1
I2,I1,1
I1,IC,1
LVC,LV1,1
LV1,LV2,1
LV2,LVMW,1
LVMW,LV3,1
LV3,LV4,1
LV4,LVCC,1
LVCC,LV5,1
LV5,LV6,2
LV6,LVCM,2
LVCM,LV7,2
LV7,LV8,2
LV8,LVTRP,2
LVTRP,LV9,1
LV9,LV10,1
LV10,LVV,1
LVV,LV11,1
LV11,LV12,1
LV12,LVVM,1
LVVM,LV13,1
LV13,LV14,1
LV14,LVCN,1
LVCN,LV15,1
LV15,LV16,1
LV16,AVC3,1
AVC3,AVC2,1
AVC2,AVC3,1
AVC3,AVC4,1
AVC4,AVC3,1
AVC4,CAL16,1
CAL16,CAL15,1
CAL15,CALCN,1
CALCN,CAL14,1
CAL14,CAL13,1
CAL13,CALVM,1
CALVM,CAL12,1
CAL12,CAL11,1
CAL11,CALV,1
CALV,CAL10,1
CAL10,CAL9,1
CAL9,CALTRP,1
CALTRP,CAL8,1
CAL8,CAL7,1
CAL7,CALCM,1
CALCM,CAL6,1
CAL6,CAL5,1
CAL5,CALCC,1
CALCC,CAL4,2
CAL4,CAL3,2
CAL3,CALMW,2
CALMW,CAL2,1
CAL2,CAL1,1
CAL1,CALC,1
MEC,ME1,1
ME1,ME2,1
ME2,MEMW,1
MEMW,ME3,1
ME3,ME4,2
ME4,MECC,2
MECC,ME5,1
ME5,ME6,1
ME6,MECM,1
MECM,ME7,1
ME7,ME8,1
ME8,METRP,1
METRP,ME9,1
ME9,ME10,1
ME10,MEV,1
MEV,ME11,1
ME11,ME12,1
ME12,MEVM,1
MEVM,ME13,1
ME13,ME14,1
ME14,MECN,1
MECN,ME15,1
ME15,ME16,1
ME16,AVC5,1
AVC5,AVC4,1
AVC4,AVC5,1
AVC5,AVC6,1
AVC6,AVC5,1
AVC6,JLM16,1
JLM16,JLM15,1
JLM15,JLMCN,1
JLMCN,JLM14,1
JLM14,JLM13,1
JLM13,JLMVM,1
JLMVM,JLM12,1
JLM12,JLM11,1
JLM11,JLMV,1
JLMV,JLM10,1
JLM10,JLM9,1
JLM9,JLMTRP,1
JLMTRP,JLM8,1
JLM8,JLM7,1
JLM7,JLMCM,1
JLMCM,JLM6,1
JLM6,JLM5,1
JLM5,JLMCC,1
JLMCC,JLM4,1
JLM4,JLM3,1
JLM3,JLMMW,1
JLMMW,JLM2,1
JLM2,JLM1,1
JLM1,JLMC,1
GAC,GA1,1
GA1,GA2,1
GA2,GAMW,1
GAMW,GA3,1
GA3,GA4,1
GA4,GACC,1
GACC,GA5,1
GA5,GA6,1
GA6,GACM,1
GACM,GA7,1
GA7,GA8,1
GA8,GATRP,1
GATRP,GA9,1
GA9,GA10,1
GA10,GAV,1
GAV,GA11,1
GA11,GA12,1
GA12,GAVM,1
GAVM,GA13,1
GA13,GA14,1
GA14,GACN,1
GACN,GA15,1
GA15,GA16,1
GA16,AVC7,1
AVC7,AVC6,1
AVC6,AVC7,1
AVC7,AVC8,1
AVC8,AVC7,1
AVC8,A16,1
A16,A15,1
A15,ACN,1
ACN,A14,1
A14,A13,1
A13,AVM,1
AVM,A12,1
A12,A11,1
A11,AV,1
AV,A10,1
A10,A9,2
A9,ATRP,2
ATRP,A8,2
A8,A7,2
A7,ACM,2
ACM,A6,2
A6,A5,2
A5,ACC,2
ACC,A4,2
A4,A3,2
A3,AMW,1
AMW,A2,1
A2,A1,1
A1,AC,1
COS,C1,1
C1,C2,1
C2,AC,1
AC,C3,1
C3,C4,1
C4,GAC,1
GAC,C5,1
C5,C6,1
C6,JLMC,1
JLMC,C7,1
C7,C8,1
C8,MEC,1
MEC,C9,1
C9,C10,1
C10,CALC,1
CALC,C11,1
C11,C12,1
C12,LVC,1
LVC,C13,1
C13,C14,1
C14,IC,1
IC,C15,1
C15,C16,2
C16,HC,2
HC,C17,1
C17,C18,1
C18,AVI1,1
AVI1,AVI2,1
AVI2,AVI1,1
AVI2,MW18,2
MW18,MW17,2
MW17,HMW,2
HMW,MW16,2
MW16,MW15,2
MW15,IMW,1
IMW,MW14,1
MW14,MW13,1
MW13,LVMW,1
LVMW,MW12,1
MW12,MW11,2
MW11,CALMW,2
CALMW,MW10,1
MW10,MW9,2
MW9,MEMW,1
MEMW,MW8,1
MW8,MW7,1
MW7,JLMMW,1
JLMMW,MW6,1
MW6,MW5,1
MW5,GAMW,1
GAMW,MW4,1
MW4,MW3,1
MW3,AMW,1
AMW,MW2,1
MW2,MW1,1
MW1,RCOS,1
RCOS,COS,1
RCOS,AVF1,1
AVF1,RCOS,1
COS,RCOS,1
AVF1,CC1,2
CC1,CC2,2
CC2,ACC,2
ACC,CC3,2
CC3,CC4,2
CC4,GACC,1
GACC,CC5,1
CC5,CC6,1
CC6,JLMCC,1
JLMCC,CC7,1
CC7,CC8,1
CC8,MECC,1
MECC,CC9,2
CC9,CC10,2
CC10,CALCC,2
CALCC,CC11,1
CC11,CC12,1
CC12,LVCC,1
LVCC,CC13,1
CC13,CC14,1
CC14,ICC,1
ICC,CC15,1
CC15,CC16,1
CC16,HCC,1
HCC,CC17,1
CC17,CC18,1
CC18,AVI3,1
AVI3,AVI2,1
AVI2,AVI3,1
AVI3,AVI4,1
AVI4,AVI3,1
AVI4,CM18,1
CM18,CM17,1
CM17,HCM,1
HCM,CM16,1
CM16,CM15,1
CM15,ICM,1
ICM,CM14,1
CM14,CM13,2
CM13,LVCM,2
LVCM,CM12,2
CM12,CM11,2
CM11,CALCM,1
CALCM,CM10,2
CM10,CM9,2
CM9,MECM,2
MECM,CM8,2
CM8,CM7,2
CM7,JLMCM,1
JLMCM,CM6,1
CM6,CM5,1
CM5,GACM,1
GACM,CM4,1
CM4,CM3,1
CM3,ACM,1
ACM,CM2,1
CM2,CM1,1
CM1,AVF2,1
AVF2,AVF1,1
AVF1,AVF2,1
AVF2,AVF3,1
AVF3,AVF2,1
AVF3,TRP1,1
TRP1,TRP2,1
TRP2,ATRP,1
ATRP,TRP3,1
TRP3,TRP4,1
TRP4,GATRP,1
GATRP,TRP5,1
TRP5,TRP6,1
TRP6,JLMTRP,1
JLMTRP,TRP7,1
TRP7,TRP8,2
TRP8,METRP,2
METRP,TRP9,2
TRP9,TRP10,2
TRP10,CALTRP,2
CALTRP,TRP11,1
TRP11,TRP12,1
TRP12,LVTRP,1
LVTRP,TRP13,1
TRP13,TRP14,1
TRP14,ITRP,1
ITRP,TRP15,1
TRP15,TRP16,1
TRP16,HTRP,1
HTRP,TRP17,1
TRP17,TRP18,1
TRP18,AVI5,1
AVI5,AVI4,1
AVI4,AVI5,1
AVI5,AVI6,1
AVI6,AVI5,1
AVI6,V18,1
V18,V17,1
V17,HV,1
HV,V16,1
V16,V15,1
V15,IV,1
IV,V14,1
V14,V13,1
V13,LVV,1
LVV,V12,1
V12,V11,1
V11,CALV,1
CALV,V10,1
V10,V9,1
V9,MEV,1
MEV,V8,1
V8,V7,1
V7,JLMV,1
JLMV,V6,1
V6,V5,1
V5,GAV,1
GAV,V4,1
V4,V3,1
V3,AV,1
AV,V2,1
V2,V1,1
V1,AVF4,1
AVF4,AVF3,1
AVF3,AVF4,1
AVF4,AVF5,1
AVF5,AVF4,1
AVF5,VM1,1
VM1,VM2,1
VM2,AVM,1
AVM,VM3,1
VM3,VM4,1
VM4,GAVM,1
GAVM,VM5,1
VM5,VM6,1
VM6,JLMVM,1
JLMVM,VM7,1
VM7,VM8,1
VM8,MEVM,1
MEVM,VM9,1
VM9,VM10,1
VM10,CALVM,1
CALVM,VM11,1
VM11,VM12,1
VM12,LVVM,1
LVVM,VM13,1
VM13,VM14,1
VM14,IVM,1
IVM,VM15,1
VM15,VM16,1
VM16,HVM,1
HVM,VM17,1
VM17,VM18,1
VM18,AVI7,1
AVI7,AVI6,1
AVI6,AVI7,1
AVI7,AVI8,1
AVI8,AVI7,1
AVI8,CN18,1
CN18,CN17,1
CN17,HCN,1
HCN,CN16,1
CN16,CN15,1
CN15,ICN,1
ICN,CN14,1
CN14,CN13,1
CN13,LVCN,1
LVCN,CN12,1
CN12,CN11,1
CN11,CALCN,1
CALCN,CN10,1
CN10,CN9,1
CN9,MECN,1
MECN,CN8,1
CN8,CN7,1
CN7,JLMCN,1
JLMCN,CN6,1
CN6,CN5,1
CN5,GACN,1
GACN,CN4,1
CN4,CN3,1
CN3,ACN,1
ACN,CN2,1
CN2,CN1,1
CN1,AVF6,1
AVF6,AVC8,2
AVC8,AVF6,2
AVC1,AVI8,2
AVI8,AVC1,2
AVF6,AVF5,2
AVF5,AVF6,2